Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Sony PlayStation 4","Games","Owned","Dark Souls Trilogy","United Kingdom","Official","Bandai Namco Entertainment","FromSoftware, Inc.","Action, RPG","Nov 6, 2025","CIB+","26.09","32.5","36.21","32.5","?",?,?,?,"","","Missing Field",
"Sony PlayStation 4","Games","Owned","Death Stranding","United Kingdom","Official","Sony Interactive Entertainment","Kojima Productions (Konami)","Action, RPG","Nov 6, 2025","CIB+","6.17","8.36","12.82","8.36","?",?,?,?,"","","82",
"Sony PlayStation 4","Games","Owned","Detroit: Become Human","United States of America","Official","Sony Interactive Entertainment","Quantic Dream","Adventure","Nov 6, 2025","CIB+","13.99","14.03","22.49","14.03","?",?,?,?,"","","78",
"Sony PlayStation 4","Games","Owned","Downwell [Special Reserve Outer Box Edition]","United States of America","Official","Special Reserve Games","Moppin","Action, Adventure","Nov 6, 2025","New","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","80",
"Sony PlayStation 4","Games","Owned","Final Fantasy I-VI Collection [Anniversary Edition]","United Kingdom","Official","Square Enix","Square Enix","RPG","Nov 6, 2025","CIB+","?","39.81","48.31","39.81","?",?,?,?,"","","87",
"Sony PlayStation 4","Games","Owned","Final Fantasy Type-0 HD","United Kingdom","Official","Square Enix","Square Enix","Action, RPG","Nov 6, 2025","CIB+","8.13","8.19","15.16","8.19","?",?,?,?,"","","72",
"Sony PlayStation 4","Games","Owned","Final Fantasy X / X-2 HD Remaster","United Kingdom","Official","Square Enix","Square Enix, Virtuos","RPG","Nov 6, 2025","CIB+","12.82","14.03","15.55","14.03","?",?,?,?,"","","84",
"Sony PlayStation 4","Games","Owned","Final Fantasy XV [Deluxe Edition]","United Kingdom","Official","Square Enix","Square Enix Business Division 2","Action, RPG","Nov 6, 2025","CIB+","12.36","21.48","34.5","21.48","?",?,?,?,"Signed copy by Yoko Shimomura ","","81",
"Sony PlayStation 4","Games","Owned","Gravity Daze","Japan","Official","SCEI","Bluepoint Games","Action, Adventure","Nov 6, 2025","CIB+","25.54","33.59","50.1","33.59","?",?,?,?,"","","80",
"Sony PlayStation 4","Games","Owned","Gravity Daze 2 [Limited Edition]","Japan","Official","Sony Interactive Entertainment","SCE Japan Studio","Action, Adventure","Nov 6, 2025","CIB+","22.43","23.79","51.59","23.79","?",?,?,?,"Includes AMV","","80",
"Sony PlayStation 4","Games","Owned","Hellblade: Senua's Sacrifice","United Kingdom","Official","Ninja Theory","Ninja Theory, QLOC","Action, Adventure","Nov 6, 2025","CIB+","22.01","29.16","37.43","29.16","?",?,?,?,"","","81",
"Sony PlayStation 4","Games","Owned","Infamous: Second Son [Playstation Hits]","United Kingdom","Official","SCEE","Sucker Punch","Action, Adventure","Nov 6, 2025","CIB+","?","8.28","17.11","8.28","?",?,?,?,"","","80",
"Sony PlayStation 4","Games","Owned","Kingdom Hearts: All-in-One Package","United States of America","Official","Square Enix","Square Enix","Action, RPG","Dec 16, 2025","CIB+","33.67","39.32","64.07","39.32","?",?,?,?,"","","Missing Field",
"Sony PlayStation 4","Games","Owned","Marvel's Spider-Man [Game Of The Year Edition]","United Kingdom","Official","Sony Interactive Entertainment","Insomniac Games","Action, Adventure","Nov 6, 2025","CIB+","9.14","15.03","23.2","15.03","?",?,?,?,"","","87",
"Sony PlayStation 4","Games","Owned","Metal Gear Solid: Master Collection Vol. 1","United Kingdom","Official","Konami Digital Entertainment, Inc.","Konami","Action, Adventure, Strategy, Stealth","Nov 6, 2025","CIB+","28.38","33.06","48.34","33.06","?",?,?,?,"","","Missing Field",
"Sony PlayStation 4","Games","Owned","NieR Replicant ver.1.22474487139...","United Kingdom","Official","Square Enix","Toylogic Inc.","Action, RPG","Nov 6, 2025","CIB+","13.57","17.76","20.33","17.76","?",?,?,?,"","","83",
"Sony PlayStation 4","Games","Owned","NieR: Automata [Game of the YoRHa Edition]","United Kingdom","Official","Square Enix","PlatinumGames","Action, RPG","Nov 6, 2025","CIB+","11.71","11.93","18.03","11.93","?",?,?,?,"","","91",
"Sony PlayStation 4","Games","Owned","Persona 4 Golden","United States of America","Official","Sega, Limited Run Games","Atlus","RPG","Nov 6, 2025","CIB+","69.48","84.58","95.38","84.58","?",?,?,?,"","","86",
"Sony PlayStation 4","Games","Owned","Persona 5 Royal","United Kingdom","Official","Sega Europe","Atlus Co., Ltd.","Action, RPG, Life Sim","Nov 6, 2025","CIB+","13.02","21.06","36.66","21.06","?",?,?,?,"","","95",
"Sony PlayStation 4","Games","Owned","Resident Evil 2","United Kingdom","Official","Capcom","Capcom","Adventure, Horror","Nov 6, 2025","CIB+","8.06","12.33","21.3","12.33","?",?,?,?,"","","91",
"Sony PlayStation 4","Games","Owned","Sakura Wars","United Kingdom","Official","Sega","Sega","Action, RPG, Beat 'em up","Nov 6, 2025","CIB+","13.09","13.71","23.63","13.71","?",?,?,?,"","","73",
"Sony PlayStation 4","Games","Owned","Sekiro: Shadows Die Twice [Game Of The Year Edition]","United States of America","Official","Activision","FromSoftware, Inc.","Action, Adventure","Nov 6, 2025","CIB+","35.43","40.98","63.01","40.98","?",?,?,?,"","","90",
"Sony PlayStation 4","Games","Owned","Shadow of the Colossus","United Kingdom","Official","Sony Interactive Entertainment","Bluepoint Games SIE Japan Studio","Action, Adventure","Nov 6, 2025","CIB+","16.67","16.98","28.81","16.98","?",?,?,?,"","","91",
"Sony PlayStation 4","Games","Owned","Sonic Superstars","United Kingdom","Official","Sega","Arzest, Sonic Team","Adventure, Platformer","Nov 6, 2025","CIB+","16.62","17.04","22.65","17.04","?",?,?,?,"","","Missing Field",
"Sony PlayStation 4","Games","Owned","Tales of Arise","United Kingdom","Official","Bandai Namco Entertainment","Bandai Namco Entertainment","Action, Adventure, RPG","Nov 6, 2025","CIB+","8.28","20.72","21.5","20.72","?",?,?,?,"","","82",
"Sony PlayStation 4","Games","Owned","Tales of Berseria [PlayStation Hits]","United Kingdom","Official","Bandai Namco Entertainment","Bandai Namco Entertainment","Action, RPG","Jan 23, 2026","CIB+","-1.0", "-1.0", "-1.0", "-1.0","-1.0",?,?,?,"","","79",
"Sony PlayStation 4","Games","Owned","Tales of Vesperia: Definitive Edition","United Kingdom","Official","Bandai Namco Entertainment","Bandai Namco Entertainment","Action, RPG","Jan 23, 2026","CIB+","12.84","14.32","25.06","14.32","-1.0",?,?,?,"","","81",
"Sony PlayStation 4","Games","Owned","Tales of Zestiria","United Kingdom","Official","Bandai Namco Entertainment","Bandai Namco Entertainment","RPG","Jan 23, 2026","CIB+","6.97","14.04","24.77","14.04","-1.0",?,?,?,"","","72",
"Sony PlayStation 4","Games","Owned","Last Guardian","United Kingdom","Official","Sony","Sony Japan Studio, genDESIGN","Action, Adventure","Nov 6, 2025","CIB+","7.29","13","20.26","13","?",?,?,?,"","","82",
"Sony PlayStation 4","Games","Owned","Wonderful 101: Remastered","United Kingdom","Official","Nighthawk Interactive","PlatinumGames","Platformer","Nov 6, 2025","CIB+","11.94","13.27","21.82","13.27","?",?,?,?,"","","76",
"Sony PlayStation 4","Games","Owned","Yakuza Remastered Collection","United Kingdom","Official","Sega Europe","Ryu ga Gotoku Studio","Action, Adventure, Sandbox","Nov 6, 2025","CIB+","17.63","23.38","22.78","23.38","?",?,?,?,"","","83",
"Sony PlayStation 4","Games","Owned","Titanfall 2","United Kingdom","Official","Electronic Arts","Respawn Entertainment","Action, First-person shooter","Nov 6, 2025","CIB+","4.97","5.07","17.91","5.07","?",?,?,?,"","","89",
"Sony PlayStation 4","Games","Owned","Uncharted: The Nathan Drake Collection [PlayStation Hits]","United Kingdom","Official","Sony","Bluepoint Games, Naughty Dog Software","Action, Adventure, Third-person shooter","Nov 6, 2025","New","4.69","7.82","15.79","15.79","?",?,?,?,"","","86",
"Sony PlayStation 4","Games","Owned","Until Dawn [Playstation Hits]","United Kingdom","Official","SCEE","Supermassive Games","Adventure, Horror","Nov 6, 2025","CIB+","8.06","9.07","14.47","9.07","?",?,?,?,"","","79",
"Sony PlayStation 4","Games","Owned","Yakuza 0 [PlayStation Hits]","United Kingdom","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure","Nov 6, 2025","CIB+","12.52","14.32","18.74","14.32","?",?,?,?,"","","85",
"Sony PlayStation 4","Games","Owned","Yakuza 6: The Song of Life [PlayStation Hits]","United Kingdom","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure","Nov 6, 2025","CIB+","?","16.35","20.6","16.35","?",?,?,?,"","","83",
"Sony PlayStation 4","Games","Owned","Yakuza Kiwami","United Kingdom","Official","Sega","Sega","Action, Adventure","Nov 6, 2025","CIB+","14.04","17.25","39.23","17.25","?",?,?,?,"","","80",
"Sony PlayStation 4","Games","Owned","Yakuza Kiwami 2 [Playstation Hits]","United Kingdom","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure","Nov 6, 2025","CIB+","14.47","14.48","21.32","14.48","?",?,?,?,"","","85",
"Nintendo Switch 2","Games","Owned","Bravely Default Flying Fairy HD Remaster","United Kingdom","Official","Missing Field","Missing Field","RPG","Nov 6, 2025","CIB+","18.39","18.76","18.68","18.76","?",?,?,?,"","","Missing Field",
"Nintendo Switch 2","Games","Owned","Cyberpunk 2077 [Ultimate Edition]","United Kingdom","Official","CD Projekt Red","CD Projekt Red","Action, RPG","Nov 6, 2025","CIB+","37.39","38.55","41.46","38.55","?",?,?,?,"","","Missing Field",
"Nintendo Switch 2","Games","Owned","Donkey Kong Bananza","United Kingdom","Official","Nintendo","Nintendo","Action, Platformer","Nov 6, 2025","CIB+","40.85","41.97","46.09","41.97","?",?,?,?,"","","Missing Field",
"Nintendo Switch 2","Games","Owned","Fantasy Life i: The Girl Who Steals Time","Japan","Official","Level-5","Level-5","Action, Adventure","Nov 6, 2025","CIB+","?","52.45","56.55","52.45","?",?,?,?,"","","Missing Field",
"Nintendo Switch 2","Games","Owned","Fatal Frame II: Crimson Butterfly Remake [Key Card]","United Kingdom","Official","Koei Tecmo","Missing Field","Horror, Survival","May 29, 2026","CIB+","?","33.82","35.29","33.82","-1.0",?,?,?,"","","Missing Field",
"Nintendo Switch 2","Games","Owned","Hades II","United Kingdom","Official","Supergiant Games","Supergiant Games","Action, Adventure, Roguelike","Nov 23, 2025","CIB+","27.51","27.73","32.2","27.73","?",?,?,?,"","","95",
"Nintendo Switch 2","Games","Owned","Hyrule Warriors: Age of Imprisonment","United Kingdom","Official","Nintendo","Koei Tecmo Games, Gust Co. Ltd.","Action, Adventure","Jan 14, 2026","CIB+","?","43.03","43.29","43.03","?",?,?,?,"","","Missing Field",
"Nintendo Switch 2","Games","Owned","Indiana Jones and the Great Circle","United Kingdom","Official","Bethesda Softworks","Machinegames","Action, Adventure","Jun 16, 2026","CIB+","?","44.36","55.18","44.36","-1.0",?,?,?,"","","Missing Field",
"Nintendo Switch 2","Games","Owned","Pokémon Legends: Z-A","United Kingdom","Official","Nintendo","Game Freak","Action, Adventure, RPG","Nov 6, 2025","CIB+","26.82","36.23","47.08","36.23","?",?,?,?,"","","Missing Field",
"Nintendo Switch 2","Games","Owned","Pokémon Pokopia [Key Card]","United Kingdom","Official","Nintendo, The Pokemon Company","Game Freak, Omega Force","Life Sim","May 11, 2026","CIB+","51.48","53.29","58.05","53.29","-1.0",?,?,?,"","","Missing Field",
"Nintendo 64","Games","Owned","Pokémon Stadium","United Kingdom","Official","Nintendo","Nintendo EAD","Strategy","Nov 6, 2025","Loose","14.29","68.27","248.98","14.29","?",?,?,?,"","","Missing Field",
