Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Nintendo Switch","Games","Owned","Chinatown Detective Agency","United Kingdom","Official","Red Art Games, Humble Games","General Interactive Co.","Adventure, Puzzle, Point & Click","Nov 6, 2025","CIB+","18.39","20.68","27.73","20.68","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Chrono Cross: The Radical Dreamers Edition","World","Official","Square Enix","Square Enix","RPG","Nov 6, 2025","CIB+","31.34","33.3","38.45","33.3","?",?,?,?,"","","77",
"Nintendo Switch","Games","Owned","Collection of Mana","United Kingdom","Official","Square Enix","M2","Action, RPG","Nov 6, 2025","CIB+","21.56","21.81","26.96","21.81","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Crisis Core: Final Fantasy VII Reunion","United Kingdom","Official","Square Enix","Square Enix","RPG","Nov 6, 2025","CIB+","17.49","20.37","23.04","20.37","?",?,?,?,"","","77",
"Nintendo Switch","Games","Owned","Cult of the Lamb","United Kingdom","Official","Devolver Digital","Massive Monster","Action, Adventure, Strategy, Roguelike","Nov 6, 2025","CIB+","23.4","23.48","35.56","23.48","?",?,?,?,"","","79",
"Nintendo Switch","Games","Owned","Cuphead","United Kingdom","Official","iam8bit","Studio MDHR Entertainment Inc.","Action, Platformer","Nov 6, 2025","CIB+","23.03","23.66","33.67","23.66","?",?,?,?,"","","87",
"Nintendo Switch","Games","Owned","Danganronpa Decadence","United Kingdom","Official","Numskull Games","Spike Chunsoft Co., Ltd.","Adventure, Puzzle, Board, Trivia","Nov 6, 2025","CIB+","33.51","39.77","58.98","39.77","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Dark Souls: Remastered","United Kingdom","Official","Bandai Namco Entertainment","FromSoftware, Inc.","Action, RPG","Nov 6, 2025","CIB+","27.51","27.94","33.3","27.94","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Digimon Story: Cyber Sleuth Complete Edition","United Kingdom","Official","Bandai Namco Games","Media.Vision","RPG","Nov 6, 2025","CIB+","22.38","22.89","33.33","22.89","?",?,?,?,"","","76",
"Nintendo Switch","Games","Owned","Digimon Survive","United Kingdom","Official","Bandai Namco Entertainment","Hyde","Adventure, RPG, Strategy, Horror","Nov 6, 2025","CIB+","18.44","22.09","18.65","22.09","?",?,?,?,"","","77",
"Nintendo Switch","Games","Owned","Digimon World: Next Order [International Edition]","Japan","Official","Bandai Namco Entertainment","B.B. Studio","RPG","Nov 6, 2025","CIB+","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"CHINESE","","61",
"Nintendo Switch","Games","Owned","Dragon Quest III HD-2D Remake","United Kingdom","Official","Square Enix","Artdink","RPG","Nov 6, 2025","CIB+","32.44","33.86","37.82","33.86","?",?,?,?,"","","82",
"Nintendo Switch","Games","Owned","Dragon Quest VII: Reimagined","Australia","Official","Square Enix","HexaDrive","RPG","Feb 5, 2026","CIB","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Dragon Quest XI S: Echoes of an Elusive Age [Definitive Edition]","United Kingdom","Official","Nintendo","Square Enix","Adventure, RPG","Nov 6, 2025","CIB+","21.2","26.34","54.46","26.34","?",?,?,?,"","","91",
"Nintendo Switch","Games","Owned","Eiyuden Chronicle: Hundred Heroes","United Kingdom","Official","505 Games","Rabbit & Bear Studios","RPG","Nov 6, 2025","CIB+","20.92","23.07","43.2","23.07","?",?,?,?,"","","57",
"Nintendo Switch","Games","Owned","Eiyuden Chronicle: Rising","United Kingdom","Official","Red Art Games","NATSUME ATARI Inc.","RPG","Nov 6, 2025","CIB+","37.13","40.9","55.52","40.9","?",?,?,?,"","","65",
"Nintendo Switch","Games","Owned","Emio - The Smiling Man: Famicom Detective Club","United Kingdom","Official","Nintendo","Nintendo","Horror, Visual Novel","Dec 1, 2025","CIB+","45.92","52.74","68.63","52.74","?",?,?,?,"","","75",
"Nintendo Switch","Games","Owned","Ender Lilies: Quietus of the Knights","United Kingdom","Official","Clear River Games","Live Wire","Action","Nov 6, 2025","CIB+","29.6","30.23","41.99","30.23","?",?,?,?,"","","84",
"Nintendo Switch","Games","Owned","Epic Mickey: Rebrushed","United Kingdom","Official","THQ Nordic","Junction Point Studios, Purple Lamp Studios","Action, Adventure, Platformer","Nov 6, 2025","CIB+","12.92","21.31","27.24","21.31","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Etrian Odyssey Origins Collection","Taiwan","Official","Sega, Atlus","Atlus","RPG","Nov 6, 2025","CIB+","42.77","53.52","106.6","53.52","?",?,?,?,"","","77",
"Nintendo Switch","Games","Owned","Fae Farm","United Kingdom","Official","Phoenix Labs","Phoenix Labs","Management Sim","Nov 7, 2025","CIB+","14.34","16.99","18.21","16.99","?",?,?,?,"","","77",
"Nintendo Switch","Games","Owned","FANTASIAN Neo Dimension","United Kingdom","Official","Square Enix","Mistwalker","RPG","Nov 6, 2025","CIB+","21.02","26.02","44.57","26.02","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Fire Emblem Engage","United Kingdom","Official","Nintendo","Intelligent Systems","Adventure, RPG, Strategy","Nov 6, 2025","CIB+","28.68","30.85","28.44","30.85","?",?,?,?,"","","80",
"Nintendo Switch","Games","Owned","Fire Emblem: Three Houses Limited Edition","United Kingdom","Official","Nintendo","Intelligent Systems","RPG, Strategy","Nov 6, 2025","CIB+","158.16","163.06","176.51","163.06","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","For the King","United Kingdom","Official","Merge Games","IronOak Games","RPG, Roguelike","Nov 6, 2025","CIB+","14.3","16.95","16.58","16.95","?",?,?,?,"","","76",
"Nintendo Switch","Games","Owned","Front Mission 1st Remake","Japan","Official","Rainy Frog","MegaPixel Studio","Strategy","Nov 6, 2025","CIB+","24.37","37.57","38.39","37.57","?",?,?,?,"","","69",
"Nintendo Switch","Games","Owned","Gal Guardians: Demon Purge","United Kingdom","Official","PQube, Inti Creates Co., Ltd.","Inti Creates","Action, Adventure","Nov 7, 2025","CIB+","?","35.56","33.39","35.56","?",?,?,?,"","","76",
"Nintendo Switch","Games","Owned","Gris [Reserve Edition]","United States of America","Official","Devolver Digital, Special Reserve Games","Nomada Studio","Adventure, Platformer","Nov 6, 2025","CIB+","?","64.12","80.29","64.12","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Gyakuten Saiban 123: Naruhodo Selection","Japan","Official","Capcom","Capcom","Adventure, Puzzle","Nov 6, 2025","CIB+","27.46","31.48","41.04","31.48","?",?,?,?,"","","81",
"Nintendo Switch","Games","Owned","Hollow Knight","United Kingdom","Official","Fangamer","Team Cherry","Action, Adventure","Nov 6, 2025","CIB+","18.08","23.69","30.69","23.69","?",?,?,?,"","","90",
"Nintendo Switch","Games","Owned","Hyrule Warriors: Age of Calamity","United Kingdom","Official","Nintendo","Koei Tecmo, Omega Force","Action, Adventure, RPG, Fighting, Beat 'em up","Nov 6, 2025","CIB+","30.92","31.08","53.45","31.08","-1.0",?,?,?,"","","78",
"Nintendo Switch","Games","Owned","Katamari Damacy REROLL","United States of America","Official","Bandai Namco Entertainment","Bandai Namco Entertainment","Action, Puzzle","Nov 6, 2025","CIB+","13.23","15.44","23.13","15.44","?",?,?,?,"","","87",
"Nintendo Switch","Games","Owned","Kirby and the Forgotten Land","United States of America","Official","Nintendo","HAL Laboratory, Inc.","Action, Adventure, Platformer","Nov 6, 2025","CIB+","30.68","30.69","36.5","30.69","?",?,?,?,"","","85",
"Nintendo Switch","Games","Owned","Kirby's Return to Dream Land Deluxe","United Kingdom","Official","Nintendo","HAL Laboratory","Action, Platformer","Nov 6, 2025","CIB+","33.14","33.8","47.72","33.8","?",?,?,?,"","","79",
"Nintendo Switch","Games","Owned","Lego Harry Potter Collection","United Kingdom","Official","Warner Bros. Interactive Entertainment","Double Eleven","Action, Adventure, Sandbox, Platformer","Nov 7, 2025","CIB+","8.5","11.37","13.59","11.37","?",?,?,?,"","","73",
"Nintendo Switch","Games","Owned","Little Kitty, Big City","United Kingdom","Official","Fangamer","Double Dagger Studio","Adventure","Nov 6, 2025","CIB+","?","36.31","41.14","36.31","?",?,?,?,"","","78",
"Nintendo Switch","Games","Owned","Live A Live","United Kingdom","Official","Square Enix","Square Enix","RPG","Nov 6, 2025","CIB+","15.33","18.96","20.9","18.96","?",?,?,?,"","","81",
